# This automated data download from the USGS sediment portal have not received director's approval and as such are provisional and are subject to revision. The data are released on the conditions that neither the USGS nor the United States Government may be held liable for any damages resulting from its use.
#
# Field name  Field description  Units  
# SITE_NO   USGS site identifier    
# STATION_NM   USGS site name    
# DATETIME   Date/time of sample collection    
# DCOMMENT   Quality control comment on the relation of SSC with daily flow    
# ICOMMENT   Quality control comment on the relation of SSC with instantaneous flow    
# SSC   Suspended-sediment concentration   milligrams per liter
"# DAILYFLOW   Discharge, mean daily   cubic feet per second"
"# INSTFLOW   Discharge, instantaneous   cubic feet per second"
# GH   Gage height   feet  
"# P2  Suspended sediment, diameter, percent smaller than 0.002 millimeters.   percent"
"# P4   Suspended sediment, diameter, percent smaller than 0.004 millimeters.   percent"
"# P8   Suspended sediment, diameter, percent smaller than 0.008 millimeters.   percent"
"# P16   Suspended sediment, diameter, percent smaller than 0.016 millimeters.   percent"
"# P31   Suspended sediment, diameter, percent smaller than 0.031 millimeters.   percent"
"# P63   Suspended sediment, diameter, percent smaller than 0.063 millimeters.   percent"
"# P125   Suspended sediment, diameter, percent smaller than 0.125 millimeters.   percent"
"# P250   Suspended sediment, diameter, percent smaller than 0.250 millimeters.   percent"
"# P500   Suspended sediment, diameter, percent smaller than 0.500 millimeters.   percent"
"# P1MILLI   Suspended sediment, diameter, percent smaller than 1.0 millimeters.   percent"
"# P2MILLI   Suspended sediment, diameter, percent smaller than 2.0 millimeters.   percent"
"# LOI   Loss on ignition of total solids, water, unfiltered   milligrams per liter"
"# TSS   Total solids dried at 105 degrees Celsius, water, unfiltered   milligrams per liter"
"# SS   Suspended solids, water, unfiltered   milligrams per liter"
# AGENCYCODE   Agency analyzing sample   NWIS code
# SAMPMETHOD   Sampling method   NWIS code
# SAMPLEPURPOSE   Sampling purpose   NWIS code
# SAMPTYPE   Sampler type   NWIS code
# NUMBERSAMPPTS   Number of Sampling points   NWIS code
# VISITPURPOSE   site visit purpose   NWIS code
# WIDTH   Stream width   feet
# VELOCITY   Stream velocity   feet per second
"# TURB70   Turbidity, water, unfiltered   Jackson Turbidity Units"
"# TURB76   Turbidity, water, unfiltered   nephelometric Turbidity Units"
"# TURB1350   Turbidity, severity   code"
"# TURB61028   Turbidity, water, unfiltered, field   nephelometric Turbidity Units"
"# TURB63675   Turbidity, water, unfiltered, broad band light source (400680 nm), detection angle 90 +/- 30 degrees to incident light   nephelometric Turbidity Units"
"# TURB63676  Turbidity, water, unfiltered, broad band light source (400-680 nm), detectors at multiple angles including 90 +/- 30 degrees, ratiometric correction   nephelometric Turbidity ratio Units"
"# TURB63680  Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +/- 2.5 degrees   formazin nephelometric Units"
"# TEMPC   Temperature, water   degrees Celsius"
"# TEMPAIRC   Temperature, air   degrees Celsius"
"# SC   Specific conductance, water, unfiltered, field   microsiemens per centimeter at 25 degrees Celsius"
"# SCLAB   Specific conductance, water, unfiltered, laboratory   microsiemens per centimeter at 25 degrees Celsius"
"# DSS   Dissolved solids drived at 105 degrees Celcius, water, filtered   milligrams per liter"
"# PH   pH, water, unfiltered, field   standard Units"
"# PHLAB   pH, water, unfiltered, laboratory   standard Units"
# ENDDATE   End date of sample (rarely present; only in the case of composite samples collected over time)   
# ENDTIME  End time of sample (rarely present; only in the case of composite samples collected over time)
#
#
SITE_NO	STATION_NM	DATETIME	DCOMMENT	ICOMMENT	SSC	DAILYFLOW	INSTFLOW	GH	P2	P4	P8	P16	P31	P63	P125	P250	P500	P1MILLI	P2MILLI	LOI	TSS	SS	AGENCYCODE	SAMPMETHOD	SAMPLEPURPOSE	SAMPTYPE	NUMBERSAMPPTS	WIDTH	VELOCITY	TURB70	TURB76	TURB61028	TURB63675	TURB63676	TURB63680	TEMPC	TEMPAIRC	SC	SCLAB	DSS	PH	PHLAB	END_DATE	END_TIME
07022000	MISSISSIPPI RIVER AT THEBES, IL	1973-01-30 10:30:00	G	S	 306	369000																														 1.5		435			 7.8			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1973-02-21 10:50:00	G	S	 436	237000																														 2.0		430			 7.7			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1973-06-21 11:00:00	G	S	 468	408000																520														25.5		435		310	 7.8			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1973-07-18 09:30:00	G	S	 227	179000																210								50						28.0		640		370	 7.8			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1973-08-14 10:00:00	G	S	 211	208000																130								40						26.0		545		330	 8.1			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1973-08-27 10:00:00	G	S	 256	144000								 64																														
07022000	MISSISSIPPI RIVER AT THEBES, IL	1973-09-12 09:30:00	G	S	 301	167000																260														24.5		595		330	 8.0			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1973-10-16 14:00:00	G	S	1095	378000																740														19.0		425		320	 8.0			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1974-04-24 10:30:00	G	S	 342	333000								 77								240														14.5		485		310	 8.0			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1974-05-30 13:50:00	G	S	 712	510000								 89																200						21.0		400			 7.8			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1974-06-25 10:30:00	G	S	 332	387000								 90								300														23.0		470		210	 8.0			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1974-07-31 09:30:00	G	S	 99	152000								 94								 46														28.0		595		390	 8.1			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1974-08-27 10:00:00	G	S	 256	134000								 64								150								40						26.5		530		350	 8.0			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1974-09-24 14:10:00	G	S	 42	108000								 80																						19.5		560			 8.1			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1974-10-22 14:00:00	G	S	 96	104000								 57																30						14.5		582			 7.9			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1974-11-26 15:00:00	G	S	 73	140000								 66																						 7.5		555			 7.8			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1974-12-30 14:10:00	G	S	 163	115000								 26																						 3.5		590			 8.1			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1975-01-28 14:00:00	G	S	 270	170000								 52																						 2.0		565			 8.0			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1975-02-18 14:50:00	G	S	 158	142000								 47																30						 3.0		570			 7.9			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1975-03-19 09:00:00	G	S	 340	286000								 32																						 4.0		410			 7.9			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1975-04-16 11:10:00	G	S	 371	263000								 53								120														 8.5		530		330	 8.1			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1975-05-21 15:45:00	G	S	 424	359000								 63																50						21.0		425			 7.8			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1975-06-18 16:15:00	G	S	1170	258000																														23.5		490			 7.9			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1975-07-17 15:30:00	G	S	 231	231000								 78																						26.0		560			 8.1			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1975-08-12 15:00:00	G	S	 158	117000								 82																28						29.0		650			 8.3			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1975-09-08 14:30:00	G	S	 174	171000								 81																36						26.5		565			 7.9			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1975-10-17 10:00:00	G	S	 158	126000								 84																35						18.5		625			 7.9			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1975-11-19 09:45:00	G	S	 242	149000								 46								 94								20						10.5		625		400	 7.9			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1975-12-16 14:00:00	G	S	 348	170000								 64																60						 6.5		545			 8.3			
